0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01
3.200000000000000262e-04,4.000000000000000327e-05,2.799999999999999755e-04,2.000000000000000111e-01
2.565999999999999878e-02,5.640000000000000048e-03,2.001999999999999960e-02,2.999999999999999889e-01
1.378199999999999981e-01,3.697999999999999898e-02,1.008399999999999991e-01,4.000000000000000222e-01
3.000599999999999934e-01,8.676000000000000378e-02,2.132999999999999896e-01,5.000000000000000000e-01
4.693399999999999794e-01,1.458800000000000097e-01,3.234600000000000253e-01,5.999999999999999778e-01
6.102800000000000447e-01,2.003199999999999981e-01,4.099599999999999911e-01,6.999999999999999556e-01
7.254800000000000137e-01,2.503000000000000225e-01,4.751799999999999913e-01,8.000000000000000444e-01
8.324599999999999778e-01,3.049999999999999933e-01,5.274600000000000399e-01,9.000000000000000222e-01
9.560999999999999499e-01,3.798400000000000110e-01,5.762599999999999945e-01,1.000000000000000000e+00
